year,temp,location,site_name,site_number
1931,10.3,Dunedin,Botanical Gardens,2
1932,10.2,Dunedin,Botanical Gardens,2
1933,10.7,Dunedin,Botanical Gardens,2
1934,11,Dunedin,Botanical Gardens,2
1935,11.2,Dunedin,Botanical Gardens,2
1936,10.7,Dunedin,Botanical Gardens,2
1937,10.3,Dunedin,Botanical Gardens,2
1938,11.5,Dunedin,Botanical Gardens,2
1939,10.9,Dunedin,Botanical Gardens,2
1940,10.9,Dunedin,Botanical Gardens,2
1941,10.5,Dunedin,Botanical Gardens,2
1942,,Dunedin,Botanical Gardens,2
1943,9.7,Dunedin,Beta Street,3
1944,9.6,Dunedin,Beta Street,3
1945,9.5,Dunedin,Beta Street,3
1946,9.6,Dunedin,Beta Street,3
1947,,Dunedin,Musselburgh,4
1948,11.1,Dunedin,Musselburgh,4
1949,10.9,Dunedin,Musselburgh,4
1950,10.9,Dunedin,Musselburgh,4
1951,10.5,Dunedin,Musselburgh,4
1952,,Dunedin,Musselburgh,4
1953,10.7,Dunedin,Musselburgh,4
1954,11.4,Dunedin,Musselburgh,4
1955,11.4,Dunedin,Musselburgh,4
1956,11.7,Dunedin,Musselburgh,4
1957,11.2,Dunedin,Musselburgh,4
1958,10.9,Dunedin,Musselburgh,4
1959,11,Dunedin,Musselburgh,4
1960,11.1,Dunedin,Musselburgh,4
1961,10.8,Dunedin,Musselburgh,5
1962,11.3,Dunedin,Musselburgh,5
1963,10.5,Dunedin,Musselburgh,5
1964,10.8,Dunedin,Musselburgh,5
1965,10.6,Dunedin,Musselburgh,5
1966,11.1,Dunedin,Musselburgh,5
1967,11,Dunedin,Musselburgh,5
1968,10.9,Dunedin,Musselburgh,5
1969,11,Dunedin,Musselburgh,5
1970,11.4,Dunedin,Musselburgh,5
1971,11.8,Dunedin,Musselburgh,5
1972,10.9,Dunedin,Musselburgh,5
1973,11.2,Dunedin,Musselburgh,5
1974,11.1,Dunedin,Musselburgh,5
1975,11.1,Dunedin,Musselburgh,5
1976,10.5,Dunedin,Musselburgh,5
1977,10.5,Dunedin,Musselburgh,5
1978,11.4,Dunedin,Musselburgh,5
1979,11,Dunedin,Musselburgh,5
1980,11.1,Dunedin,Musselburgh,5
1981,11.2,Dunedin,Musselburgh,5
1982,11,Dunedin,Musselburgh,5
1983,10.5,Dunedin,Musselburgh,5
1984,11.3,Dunedin,Musselburgh,5
1985,11.7,Dunedin,Musselburgh,5
1986,11.5,Dunedin,Musselburgh,5
1987,11.6,Dunedin,Musselburgh,5
1988,11.3,Dunedin,Musselburgh,5
1989,11.3,Dunedin,Musselburgh,5
1990,11.4,Dunedin,Musselburgh,5
1991,10.6,Dunedin,Musselburgh,5
1992,9.9,Dunedin,Musselburgh,5
1993,10.6,Dunedin,Musselburgh,5
1994,10.9,Dunedin,Musselburgh,5
1995,10.7,Dunedin,Musselburgh,5
1996,10.8,Dunedin,Musselburgh,5
1997,,Dunedin,Musselburgh EWS,6
1998,11.7,Dunedin,Musselburgh EWS,6
1999,12,Dunedin,Musselburgh EWS,6
2000,11,Dunedin,Musselburgh EWS,6
2001,11.2,Dunedin,Musselburgh EWS,6
2002,11.3,Dunedin,Musselburgh EWS,6
2003,11,Dunedin,Musselburgh EWS,6
2004,10.5,Dunedin,Musselburgh EWS,6
2005,11.4,Dunedin,Musselburgh EWS,6
2006,11,Dunedin,Musselburgh EWS,6
2007,11.1,Dunedin,Musselburgh EWS,6
2008,11.3,Dunedin,Musselburgh EWS,6
2009,10.8,Dunedin,Musselburgh EWS,6
2010,11.7,Dunedin,Musselburgh EWS,6
2011,11.4,Dunedin,Musselburgh EWS,6
2012,11.1,Dunedin,Musselburgh EWS,6
2013,11.8,Dunedin,Musselburgh EWS,6
2014,11.1,Dunedin,Musselburgh EWS,6
2015,11.2,Dunedin,Musselburgh EWS,6
2016,11.8,Dunedin,Musselburgh EWS,6
